iter	Passed	Remaining
0	48	24255
1	51	12706
2	53	8863
3	55	6943
4	57	5722
5	60	4951
6	62	4391
7	64	3980
8	67	3670
9	69	3407
10	72	3206
11	74	3036
12	77	2892
13	79	2767
14	82	2654
15	84	2554
16	86	2465
17	89	2387
18	91	2316
19	93	2252
20	96	2193
21	97	2127
22	100	2078
23	102	2038
24	105	1999
25	107	1966
26	110	1933
27	112	1900
28	115	1869
29	117	1840
30	119	1814
31	122	1792
32	124	1768
33	127	1746
34	129	1717
35	131	1695
36	133	1675
37	136	1657
38	138	1640
39	141	1625
40	143	1611
41	146	1595
42	148	1579
43	151	1565
44	153	1551
45	155	1538
46	158	1525
47	160	1512
48	162	1500
49	165	1488
50	167	1477
51	170	1467
52	172	1457
53	175	1446
54	177	1436
55	179	1426
56	182	1417
57	185	1410
58	187	1401
59	189	1392
60	192	1382
61	194	1373
62	196	1365
63	199	1357
64	201	1349
65	204	1342
66	206	1334
67	208	1326
68	211	1320
69	213	1313
70	216	1307
71	218	1300
72	221	1293
73	223	1286
74	226	1280
75	228	1274
76	230	1267
77	233	1261
78	235	1254
79	237	1248
80	240	1242
81	242	1237
82	245	1232
83	247	1226
84	249	1220
85	252	1214
86	254	1209
87	257	1203
88	259	1198
89	262	1194
90	264	1188
91	266	1181
92	268	1175
93	271	1171
94	273	1167
95	276	1163
96	278	1158
97	281	1152
98	283	1147
99	285	1143
100	288	1139
101	290	1135
102	293	1130
103	295	1125
104	298	1121
105	300	1117
106	303	1114
107	306	1110
108	308	1106
109	311	1102
110	313	1100
111	316	1097
112	319	1093
113	321	1089
114	324	1085
115	326	1081
116	329	1077
117	331	1073
118	334	1069
119	336	1066
120	339	1062
121	341	1057
122	344	1054
123	346	1051
124	349	1048
125	351	1044
126	354	1040
127	356	1036
128	359	1033
129	361	1029
130	364	1026
131	366	1022
132	369	1019
133	371	1015
134	374	1011
135	376	1008
136	379	1005
137	381	1001
138	384	998
139	387	995
140	389	992
141	392	988
142	394	985
143	397	982
144	399	978
145	401	974
146	404	970
147	406	966
148	409	963
149	411	960
150	414	957
151	416	953
152	419	950
153	421	946
154	423	943
155	426	940
156	428	936
157	431	934
158	433	930
159	436	927
160	439	924
161	441	921
162	444	918
163	446	914
164	449	911
165	451	908
166	454	905
167	456	902
168	459	899
169	461	896
170	464	894
171	467	891
172	469	888
173	472	884
174	474	881
175	476	877
176	479	875
177	482	872
178	484	868
179	486	865
180	489	862
181	491	859
182	494	856
183	496	853
184	499	850
185	502	847
186	504	844
187	507	841
188	509	838
189	512	835
190	514	832
191	516	829
192	519	826
193	521	822
194	524	819
195	526	817
196	529	813
197	531	810
198	533	807
199	536	804
200	538	801
201	541	798
202	543	795
203	546	793
204	548	789
205	551	787
206	554	784
207	556	781
208	559	778
209	561	775
210	563	772
211	566	769
212	568	766
213	571	763
214	573	760
215	575	757
216	578	754
217	580	751
218	583	748
219	585	745
220	588	742
221	590	739
222	593	736
223	595	733
224	598	731
225	600	728
226	603	725
227	605	722
228	608	719
229	610	716
230	612	713
231	614	710
232	617	707
233	619	704
234	622	701
235	624	698
236	627	696
237	629	693
238	632	690
239	635	687
240	637	685
241	639	682
242	642	679
243	645	676
244	647	674
245	650	671
246	652	668
247	655	666
248	657	663
249	660	660
250	662	657
251	665	654
252	667	652
253	670	649
254	672	646
255	675	643
256	677	640
257	680	637
258	682	635
259	684	632
260	687	629
261	690	626
262	692	624
263	695	621
264	697	618
265	700	615
266	702	613
267	705	610
268	707	607
269	709	604
270	712	601
271	714	599
272	717	596
273	719	593
274	722	590
275	724	588
276	727	585
277	729	582
278	731	579
279	734	577
280	736	574
281	739	571
282	741	568
283	744	566
284	747	563
285	749	560
286	752	558
287	754	555
288	757	553
289	759	550
290	762	547
291	764	544
292	767	541
293	769	539
294	772	536
295	774	533
296	776	531
297	778	527
298	781	525
299	783	522
300	786	519
301	788	517
302	791	514
303	793	511
304	796	509
305	798	506
306	801	503
307	803	500
308	805	498
309	808	495
310	810	492
311	813	489
312	815	487
313	817	484
314	820	481
315	822	479
316	825	476
317	827	473
318	830	471
319	832	468
320	835	465
321	837	463
322	840	460
323	842	457
324	845	455
325	847	452
326	849	449
327	852	446
328	854	444
329	857	441
330	859	439
331	862	436
332	864	433
333	866	430
334	869	428
335	871	425
336	874	422
337	876	420
338	878	417
339	881	414
340	883	412
341	886	409
342	889	406
343	891	404
344	894	401
345	896	399
346	898	396
347	901	393
348	903	390
349	905	388
350	908	385
351	910	382
352	913	380
353	915	377
354	918	374
355	920	372
356	922	369
357	925	366
358	927	364
359	930	361
360	932	359
361	935	356
362	938	354
363	940	351
364	943	348
365	945	346
366	947	343
367	950	340
368	952	338
369	954	335
370	956	332
371	959	330
372	961	327
373	963	324
374	966	322
375	968	319
376	970	316
377	972	313
378	975	311
379	977	308
380	980	306
381	982	303
382	984	300
383	987	298
384	989	295
385	991	292
386	994	290
387	996	287
388	998	285
389	1001	282
390	1003	279
391	1005	277
392	1008	274
393	1010	271
394	1012	269
395	1015	266
396	1017	264
397	1020	261
398	1022	258
399	1025	256
400	1027	253
401	1030	251
402	1032	248
403	1035	246
404	1037	243
405	1040	240
406	1042	238
407	1044	235
408	1047	233
409	1049	230
410	1051	227
411	1054	225
412	1056	222
413	1058	219
414	1061	217
415	1063	214
416	1066	212
417	1068	209
418	1071	207
419	1073	204
420	1076	201
421	1078	199
422	1080	196
423	1083	194
424	1085	191
425	1088	189
426	1090	186
427	1092	183
428	1095	181
429	1097	178
430	1100	176
431	1102	173
432	1104	170
433	1107	168
434	1109	165
435	1112	163
436	1114	160
437	1116	158
438	1118	155
439	1121	152
440	1124	150
441	1126	147
442	1129	145
443	1131	142
444	1134	140
445	1136	137
446	1139	135
447	1141	132
448	1144	129
449	1146	127
450	1149	124
451	1152	122
452	1154	119
453	1156	117
454	1158	114
455	1161	112
456	1163	109
457	1166	106
458	1168	104
459	1170	101
460	1173	99
461	1175	96
462	1178	94
463	1180	91
464	1182	89
465	1185	86
466	1187	83
467	1189	81
468	1192	78
469	1195	76
470	1197	73
471	1199	71
472	1202	68
473	1204	66
474	1207	63
475	1209	60
476	1212	58
477	1214	55
478	1216	53
479	1219	50
480	1221	48
481	1224	45
482	1226	43
483	1228	40
484	1231	38
485	1233	35
486	1236	32
487	1238	30
488	1240	27
489	1243	25
490	1245	22
491	1247	20
492	1250	17
493	1252	15
494	1255	12
495	1257	10
496	1260	7
497	1262	5
498	1264	2
499	1267	0
